"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 12 01:44:49 GMT 2025","Sun Jan 12 01:44:49 GMT 2025","9","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","cadastrarProduto_DeveFalharQuandoDadosInvalidos","Não deve permitir ""categoria"" nulo.","Valida que a tentativa de cadastrar um produto com dados inválidos retorna erros adequados nos parâmetros informados."
"passed","Sun Jan 12 01:44:48 GMT 2025","Sun Jan 12 01:44:48 GMT 2025","306","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","atualizarProduto_DeveLancarErroComPathVariableInvalido","Busca realizado com ID: 1208","Valida que o sistema retorna erro ao tentar atualizar um produto com uma variável de caminho inválida."
"passed","Sun Jan 12 01:44:49 GMT 2025","Sun Jan 12 01:44:49 GMT 2025","9","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","atualizarProduto_DeveFalharQuandoDadosInvalidos","Não deve permitir ""preco"" nulo.","Valida que o sistema retorna um erro ao tentar atualizar um produto com dados inválidos."
"passed","Sun Jan 12 01:44:49 GMT 2025","Sun Jan 12 01:44:49 GMT 2025","148","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","atualizarProduto_DeveFalharQuandoDadosInvalidos","Não deve permitir ""nome"" vazio.","Valida que o sistema retorna um erro ao tentar atualizar um produto com dados inválidos."
"passed","Sun Jan 12 01:44:49 GMT 2025","Sun Jan 12 01:44:49 GMT 2025","9","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","atualizarProduto_DeveFalharQuandoDadosInvalidos","Não deve permitir ""categoria"" nulo.","Valida que o sistema retorna um erro ao tentar atualizar um produto com dados inválidos."
"passed","Sun Jan 12 01:44:49 GMT 2025","Sun Jan 12 01:44:49 GMT 2025","53","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","atualizarProduto_DeveFalharQuandoDadosInvalidos","Não deve permitir ""preco"" negativo.","Valida que o sistema retorna um erro ao tentar atualizar um produto com dados inválidos."
"passed","Sun Jan 12 01:44:49 GMT 2025","Sun Jan 12 01:44:49 GMT 2025","8","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","atualizarProduto_DeveFalharQuandoDadosInvalidos","Não deve permitir nenhum parâmetro nulo.","Valida que o sistema retorna um erro ao tentar atualizar um produto com dados inválidos."
"passed","Sun Jan 12 01:44:47 GMT 2025","Sun Jan 12 01:44:47 GMT 2025","11","","bassi.itau_unibanco.exerc5_itau_unibanco.service.ProdutoServiceTest","","bassi.itau_unibanco.exerc5_itau_unibanco.service.ProdutoServiceTest","cadastrarProduto_DeveRetornarProdutoComIdCadastrado","Deve cadastrar produto e retornar produto com ID.","Este teste verifica se o serviço de produtos consegue cadastrar um novo produto e retorna o produto com ID gerado corretamente."
"passed","Sun Jan 12 01:44:49 GMT 2025","Sun Jan 12 01:44:49 GMT 2025","8","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","atualizarProduto_DeveFalharQuandoDadosInvalidos","Não deve permitir ""nome"" nulo.","Valida que o sistema retorna um erro ao tentar atualizar um produto com dados inválidos."
"passed","Sun Jan 12 01:44:49 GMT 2025","Sun Jan 12 01:44:49 GMT 2025","6","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","","bassi.itau_unibanco.exerc5_itau_unibanco.controller.ProdutoControllerTest","deletarProduto_DeveFalharComPathVariableInvalido","Busca realizado com ID: null","Valida que o sistema retorna erro ao tentar excluir um produto com uma variável de caminho inválida."
